01-SE,43,43,18.838,18.838
02-SE,48,48,18.886,18.886
03-SE,56,56,18.942,18.942
04-SE,47,47,18.989,18.989
05-SE,18,18,19.007,19.007
06-SE,23,23,19.030,19.030
07-SE,20,20,19.050,19.050
08-SE,48,48,19.098,19.098
09-SE,64,64,19.162,19.162
10-SE,72,72,19.234,19.234
11-SE,57,57,19.291,19.291
12-SE,26,26,19.317,19.317
13-SE,31,31,19.348,19.348
14-SE,52,52,19.400,19.400
15-SE,66,66,19.466,19.466
16-SE,36,36,19.502,19.502
17-SE,48,48,19.550,19.550
18-SE,61,61,19.611,19.611
19-SE,36,36,19.647,19.647
20-SE,15,15,19.662,19.662
21-SE,37,37,19.699,19.699
22-SE,21,21,19.720,19.720
23-SE,48,48,19.768,19.768
24-SE,29,29,19.797,19.797
25-SE,45,45,19.842,19.842
26-SE,26,26,19.868,19.868
27-SE,15,15,19.883,19.883
28-SE,9,9,19.892,19.892
29-SE,21,21,19.913,19.913
30-SE,22,22,19.935,19.935
01-OC,8,8,19.943,19.943
02-OC,6,6,19.949,19.949
03-OC,13,13,19.962,19.962
